team_points,team_bags,other_team_points,other_team_bags,game_win
46,6,145,5,0
189,9,78,9,1
78,8,189,9,0
132,2,20,2,1
20,0,132,2,0
186,6,42,6,1
42,2,186,6,0
141,1,63,1,1
63,3,141,1,0
174,4,106,4,1
106,6,174,4,0
205,5,51,5,1
51,1,205,5,0
239,9,84,9,1
84,4,239,9,0
170,0,129,0,1
129,9,170,0,0
213,3,62,3,1
62,2,213,3,0
233,3,118,3,1
118,8,233,3,0
279,9,139,9,1
139,9,279,9,0
212,2,82,2,1
82,2,212,2,0
238,8,123,8,1
123,3,238,8,0
174,4,154,4,1
154,4,174,4,0
219,9,185,9,1
185,5,219,9,0
163,3,217,3,1
217,7,163,3,0
208,8,239,8,1
239,9,208,8,0
151,1,172,1,1
172,2,151,1,0
172,2,218,2,1
218,8,172,2,0
207,7,259,7,1
259,9,207,7,0
229,9,204,9,1
204,4,229,9,0
182,2,227,2,1
227,7,182,2,0
214,4,171,4,1
171,1,214,4,0
249,9,203,9,1
203,3,249,9,0
171,1,248,1,1
248,8,171,1,0
214,4,181,4,1
181,1,214,4,0
268,8,203,8,1
203,3,268,8,0
211,1,236,1,1
236,6,211,1,0
232,2,191,2,1
191,1,232,2,0
287,7,212,7,1
212,2,287,7,0
328,8,247,8,1
247,7,328,8,0
349,9,202,9,1
202,2,349,9,0
274,4,244,4,1
244,4,274,4,0
318,8,276,8,1
276,6,318,8,0
379,9,200,9,1
200,0,379,9,0
334,4,230,4,1
230,0,334,4,0
367,7,264,7,1
264,4,367,7,0
408,8,299,8,1
299,9,408,8,0
353,3,230,3,1
230,0,353,3,0
395,5,273,5,1
273,3,395,5,0
438,8,306,8,1
306,6,438,8,0
374,4,337,4,1
337,7,374,4,0
429,9,358,9,1
358,8,429,9,0
350,0,304,0,1
304,4,350,0,0
384,4,346,4,1
346,6,384,4,0
415,5,282,5,1
282,2,415,5,0
459,9,314,9,1
314,4,459,9,0
404,4,345,4,1
345,5,404,4,0
426,6,290,6,1
290,0,426,6,0
372,2,311,2,1
311,1,372,2,0
395,5,364,5,1
364,4,395,5,0
428,8,398,8,1
398,8,428,8,0
392,2,419,2,1
419,9,392,2,0
443,3,344,3,1
344,4,443,3,0
485,5,369,5,1
369,9,485,5,0
