team_points,team_bags,other_team_points,other_team_bags,game_win
75,5,239,5,0
239,9,75,5,1
109,9,172,9,0
172,2,109,9,1
52,2,205,2,0
205,5,52,2,1
95,5,229,5,0
229,9,95,5,1
127,7,173,7,0
173,3,127,7,1
148,8,228,8,0
228,8,148,8,1
70,0,173,0,0
173,3,70,0,1
93,3,217,3,0
217,7,93,3,1
134,4,152,4,0
152,2,134,4,1
168,8,185,8,0
185,5,168,8,1
101,1,228,1,0
228,8,101,1,1
133,3,172,3,0
172,2,133,3,1
166,6,206,6,0
206,6,166,6,1
90,0,249,0,0
249,9,90,0,1
113,3,202,3,0
202,2,113,3,1
134,4,257,4,0
257,7,134,4,1
70,0,288,0,0
288,8,70,0,1
93,3,232,3,0
232,2,93,3,1
125,5,276,5,0
276,6,125,5,1
178,8,299,8,0
299,9,178,8,1
110,0,243,0,0
243,3,110,0,1
142,2,278,2,0
278,8,142,2,1
174,4,222,4,0
222,2,174,4,1
208,8,264,8,0
264,4,208,8,1
239,9,200,9,0
200,0,239,9,1
170,0,245,0,0
245,5,170,0,1
202,2,298,2,0
298,8,202,2,1
245,5,231,5,0
231,1,245,5,1
288,8,255,8,0
255,5,288,8,1
211,1,299,1,0
299,9,211,1,1
235,5,242,5,0
242,2,235,5,1
257,7,287,7,0
287,7,257,7,1
183,3,328,3,0
328,8,183,3,1
205,5,282,5,0
282,2,205,5,1
237,7,317,7,0
317,7,237,7,1
171,1,359,1,0
359,9,171,1,1
193,3,304,3,0
304,4,193,3,1
248,8,325,8,0
325,5,248,8,1
269,9,271,9,0
271,1,269,9,1
193,3,323,3,0
323,3,193,3,1
225,5,367,5,0
367,7,225,5,1
246,6,322,6,0
322,2,246,6,1
289,9,355,9,0
355,5,289,9,1
233,3,378,3,0
378,8,233,3,1
256,6,331,6,0
331,1,256,6,1
180,0,374,0,0
374,4,180,0,1
215,5,415,5,0
415,5,215,5,1
170,0,436,0,0
436,6,170,0,1
213,3,469,3,0
469,9,213,3,1
245,5,413,5,0
413,3,245,5,1
287,7,438,7,0
438,8,287,7,1
222,2,479,2,0
479,9,222,2,1
269,9,499,9,0
499,9,269,9,1
201,1,434,1,0
434,4,201,1,1
235,5,476,5,0
476,6,235,5,1
0,0,0,0,1
0,0,0,0,0
34,4,33,4,1
33,3,34,4,0
78,8,65,8,1
65,5,78,8,0
109,9,1,9,1
1,1,109,9,0
51,1,35,1,1
35,5,51,1,0
96,6,66,6,1
66,6,96,6,0
118,8,11,8,1
11,1,118,8,0
139,9,75,9,1
75,5,139,9,0
81,1,109,1,1
109,9,81,1,0
124,4,42,4,1
42,2,124,4,0
179,9,63,9,1
63,3,179,9,0
134,4,84,4,1
84,4,134,4,0
169,9,116,9,1
116,6,169,9,0
102,2,159,2,1
159,9,102,2,0
148,8,80,8,1
80,0,148,8,0
92,2,112,2,1
112,2,92,2,0
125,5,164,5,1
164,4,125,5,0
148,8,217,8,1
217,7,148,8,0
90,0,142,0,1
142,2,90,0,0
131,1,177,1,1
177,7,131,1,0
173,3,111,3,1
111,1,173,3,0
227,7,133,7,1
133,3,227,7,0
171,1,165,1,1
165,5,171,1,0
202,2,110,2,1
110,0,202,2,0
238,8,141,8,1
141,1,238,8,0
279,9,167,9,1
167,7,279,9,0
202,2,111,2,1
111,1,202,2,0
238,8,151,8,1
151,1,238,8,0
184,4,172,4,1
172,2,184,4,0
216,6,216,6,1
216,6,216,6,0
171,1,237,1,1
237,7,171,1,0
204,4,180,4,1
180,0,204,4,0
227,7,233,7,1
233,3,227,7,0
269,9,258,9,1
258,8,269,9,0
191,1,203,1,1
203,3,191,1,0
243,3,227,3,1
227,7,243,3,0
180,0,257,0,1
257,7,180,0,0
203,3,210,3,1
210,0,203,3,0
245,5,244,5,1
244,4,245,5,0
278,8,278,8,1
278,8,278,8,0
212,2,211,2,1
211,1,212,2,0
253,3,237,3,1
237,7,253,3,0
276,6,299,6,1
299,9,276,6,0
220,0,222,0,1
222,2,220,0,0
244,4,265,4,1
265,5,244,4,0
287,7,289,7,1
289,9,287,7,0
220,0,232,0,1
232,2,220,0,0
253,3,266,3,1
266,6,253,3,0
308,8,287,8,1
287,7,308,8,0
242,2,220,2,1
220,0,242,2,0
265,5,264,5,1
264,4,265,5,0
287,7,318,7,1
318,8,287,7,0
231,1,250,1,1
250,0,231,1,0
262,2,295,2,1
295,5,262,2,0
295,5,338,5,1
338,8,295,5,0
327,7,282,7,1
282,2,327,7,0
262,2,314,2,1
314,4,262,2,0
293,3,250,3,1
250,0,293,3,0
335,5,284,5,1
284,4,335,5,0
280,0,315,0,1
315,5,280,0,0
302,2,378,2,1
378,8,302,2,0
335,5,312,5,1
312,2,335,5,0
367,7,356,7,1
356,6,367,7,0
311,1,388,1,1
388,8,311,1,0
356,6,310,6,1
310,0,356,6,0
300,0,333,0,1
333,3,300,0,0
335,5,374,5,1
374,4,335,5,0
376,6,300,6,1
300,0,376,6,0
396,6,356,6,1
356,6,396,6,0
